,time,open,high,low,close,volume
1981,2025-05-14,44.15,44.15,43.71,43.71,500
1982,2025-05-15,44.15,44.15,44.06,44.06,307
1983,2025-05-16,44.06,44.59,44.06,44.15,2002
1984,2025-05-19,44.24,44.24,44.15,44.15,1600
1985,2025-05-20,44.33,44.5,44.15,44.15,2906
1986,2025-05-21,44.42,44.42,44.15,44.33,2933
1987,2025-05-22,44.24,44.24,44.24,44.24,1100
1988,2025-05-23,44.24,44.33,44.24,44.33,5858
1989,2025-05-26,44.24,44.95,44.24,44.95,1502
1990,2025-05-27,45.03,45.56,45.03,45.47,2640
1991,2025-05-28,46.36,47.06,46.36,46.62,14500
1992,2025-05-29,47.42,47.42,46.8,46.8,900
1993,2025-05-30,46.71,46.71,46.18,46.18,300
1994,2025-06-02,45.92,45.92,45.47,45.47,7900
1995,2025-06-03,45.47,45.47,45.47,45.47,200
1996,2025-06-04,45.47,45.56,45.03,45.56,5300
1997,2025-06-05,45.39,45.47,45.3,45.47,24768
1998,2025-06-06,45.56,45.56,45.47,45.47,4501
1999,2025-06-09,45.74,45.92,45.74,45.92,300
2000,2025-06-10,45.92,45.92,45.92,45.92,701
2001,2025-06-11,45.92,45.92,45.92,45.92,408
2002,2025-06-12,45.92,45.92,45.47,45.92,8500
2003,2025-06-13,45.47,45.92,45.39,45.39,5245
2004,2025-06-16,45.47,45.47,45.47,45.47,1000
2005,2025-06-17,45.56,45.65,45.47,45.47,1300
2006,2025-06-18,45.56,45.92,45.56,45.56,2515
2007,2025-06-19,45.65,46.27,45.65,46.27,1054
2008,2025-06-20,46.36,46.36,46.27,46.36,8610
2009,2025-06-23,46.62,46.62,46.36,46.36,920
2010,2025-06-24,46.45,46.45,46.27,46.27,2200
2011,2025-06-25,46.36,46.45,46.36,46.36,1500
2012,2025-06-26,46.0,46.62,45.92,45.92,2700
2013,2025-06-27,45.56,46.0,45.47,45.92,3800
2014,2025-06-30,46.45,46.53,45.92,46.45,12112
2015,2025-07-01,46.18,46.53,45.92,45.92,16942
2016,2025-07-02,46.18,47.73,46.18,47.36,4701
2017,2025-07-03,47.27,47.27,46.36,46.36,5975
2018,2025-07-04,47.18,47.18,46.55,46.55,3825
2019,2025-07-07,46.55,46.82,46.55,46.64,7545
2020,2025-07-08,46.73,46.82,46.36,46.73,8100
2021,2025-07-09,46.55,46.82,46.36,46.64,8000
2022,2025-07-10,46.64,46.82,46.36,46.73,18761
2023,2025-07-11,46.64,46.91,46.64,46.91,1401
2024,2025-07-14,46.36,46.46,46.36,46.36,12100
2025,2025-07-15,46.82,46.82,46.46,46.46,2400
2026,2025-07-16,46.82,46.91,46.82,46.82,2600
2027,2025-07-17,46.91,47.27,46.73,46.73,19403
2028,2025-07-18,46.91,46.91,46.73,46.82,18308
2029,2025-07-21,47.0,47.18,46.73,46.82,33803
2030,2025-07-22,47.18,47.18,46.73,46.73,11838
2031,2025-07-23,46.82,46.91,46.64,46.64,15700
2032,2025-07-24,46.64,47.27,46.64,47.18,34003
2033,2025-07-25,48.0,48.2,47.9,48.0,21531
2034,2025-07-28,47.8,47.8,47.0,47.0,17593
2035,2025-07-29,47.0,47.0,44.5,45.6,27654
2036,2025-07-30,45.6,45.6,44.5,45.4,10063
2037,2025-07-31,49.0,49.0,47.5,47.5,3261
2038,2025-08-01,48.0,48.0,45.2,45.4,1577
2039,2025-08-04,46.4,46.4,45.1,45.1,11707
2040,2025-08-05,45.0,46.0,45.0,45.1,20901
2041,2025-08-06,45.0,45.5,45.0,45.5,8730
2042,2025-08-07,45.3,45.3,45.0,45.1,19200
2043,2025-08-08,45.1,45.1,44.8,44.9,27600
2044,2025-08-11,45.0,45.0,44.6,44.9,19100
2045,2025-08-12,45.0,45.0,44.6,45.0,8000
2046,2025-08-13,45.0,45.0,44.7,44.8,3400
2047,2025-08-14,44.6,44.7,44.4,44.5,9200
2048,2025-08-15,44.4,44.5,44.0,44.0,8100
2049,2025-08-18,44.1,44.1,44.0,44.0,10200
2050,2025-08-19,44.0,44.0,43.9,43.9,600
2051,2025-08-20,44.0,44.0,43.5,43.6,5800
2052,2025-08-21,43.5,43.5,41.9,42.5,27900
2053,2025-08-22,43.0,43.0,42.2,42.3,5700
2054,2025-08-25,42.0,42.0,41.9,41.9,2300
2055,2025-08-26,41.6,41.9,41.0,41.9,5600
2056,2025-08-27,41.7,41.9,41.6,41.6,2300
2057,2025-08-28,41.5,41.5,41.5,41.5,1500
2058,2025-08-29,42.0,42.0,42.0,42.0,2600
2059,2025-09-03,42.0,42.0,41.7,41.7,700
2060,2025-09-04,41.5,42.0,41.0,41.5,13100
2061,2025-09-05,41.5,41.5,41.0,41.2,3800
2062,2025-09-08,41.5,41.6,41.5,41.5,1300
2063,2025-09-09,41.1,41.1,40.8,41.0,2000
2064,2025-09-10,41.0,41.0,40.4,40.4,3600
2065,2025-09-11,40.8,40.8,40.0,40.1,9700
2066,2025-09-12,40.2,40.2,40.0,40.0,13400
2067,2025-09-15,40.0,40.0,40.0,40.0,1000
2068,2025-09-16,40.0,40.0,40.0,40.0,700
2069,2025-09-17,40.8,40.8,40.4,40.5,2500
2070,2025-09-18,40.8,40.8,40.7,40.8,8100
2071,2025-09-19,40.8,40.8,40.8,40.8,2600
2072,2025-09-22,41.1,41.1,40.8,40.8,4600
2073,2025-09-23,40.9,40.9,40.8,40.8,3400
2074,2025-09-24,41.0,41.4,41.0,41.1,7000
2075,2025-09-25,41.1,41.5,41.0,41.5,12100
2076,2025-09-26,41.5,42.0,41.5,41.9,6600
2077,2025-09-29,42.0,42.5,41.5,41.5,23300
2078,2025-09-30,41.6,41.6,36.0,40.0,181100
2079,2025-10-01,42.4,42.4,41.0,41.2,4700
2080,2025-10-02,41.8,41.8,39.6,40.0,12200
2081,2025-10-03,40.0,40.4,39.9,40.4,2900
2082,2025-10-06,40.4,41.3,40.4,41.0,7800
2083,2025-10-07,41.9,41.9,41.0,41.0,3100
2084,2025-10-08,41.0,41.5,41.0,41.5,4500
2085,2025-10-09,40.5,41.0,40.0,40.5,6100
2086,2025-10-10,40.7,41.9,40.7,41.9,2000
2087,2025-10-13,40.5,40.7,40.0,40.0,9500
2088,2025-10-14,40.5,40.6,40.0,40.0,10300
2089,2025-10-15,40.3,40.3,37.0,39.9,25700
2090,2025-10-16,38.6,38.8,38.0,38.6,6200
